"Plot12"
"Time (sec)","Linear Velocity3 (inch/sec)"
0,2.85266662398834
0.04,2.24997874934776
0.08,1.58895350121501
0.12,0.894656320777901
0.16,0.191211333255354
0.2,-0.500897771486995
0.24,-1.1660500434731
0.28,-1.79345376619205
0.32,-2.37636129657505
0.36,-2.9110192365941
0.4,-3.39567703464997
0.44,-3.82980312368425
0.48,-4.21353708404377
0.52,-4.54734526621251
0.56,-4.83182794415243
0.6,-5.06762853919967
0.64,-5.25540605968147
0.68,-5.39584342223005
0.72,-5.48967387288658
0.76,-5.53771469391297
0.8,-5.54090208788597
0.84,-5.50032414792608
0.88,-5.41725068854491
0.92,-5.29315983667056
0.96,-5.12976194678113
1,-4.92902177465376
1.04,-4.69317999074586
1.08,-4.42477501200819
1.12,-4.12666564913662
1.16,-3.80205395006829
1.2,-3.45450549702326
1.24,-3.08796089285592
1.28,-2.70672716364817
1.32,-2.31543218916304
1.36,-1.91892183199039
1.4,-1.52208328026669
1.44,-1.12959489930635
1.48,-0.745633330040309
1.52,-0.373601743589476
1.56,-0.0159570714566751
1.6,0.32580926887793
1.64,0.6510370498132
1.68,0.959663624362679
1.72,1.25196864442995
1.76,1.52836080746229
1.8,1.78923715655817
1.84,2.03491500721175
1.88,2.2656197755093
1.92,2.48150810675054
1.96,2.68270909081808
2,2.86937187961894
2.04,3.04171289548525
2.08,3.20005913404625
2.12,3.3448858786016
2.16,3.47684780377978
2.2,3.59680227222263
2.24,3.70582280738745
2.28,3.80519931755981
2.32,3.89641961868095
2.36,3.981124090051
2.4,4.0610218850641
2.44,4.13775320363735
2.48,4.21267837988659
2.52,4.28657250784042
2.56,4.35920705615987
2.6,4.4288125056061
2.64,4.4914456765311
2.68,4.540339686878
2.72,4.56539599208763
2.76,4.553073641426
2.8,4.48699817156344
2.84,4.3495740094266
2.88,4.1246539756032
2.92,3.80087974429129
2.96,3.37480494674991
3,2.85266662424713
3.04,2.24997874934774
3.08,1.588953501215
3.12,0.894656320777887
3.16,0.191211333255342
3.2,-0.500897771487009
3.24,-1.16605004347312
3.28,-1.79345376619207
3.32,-2.37636129657507
3.36,-2.91101923659411
3.4,-3.39567703464998
3.44,-3.82980312368427
3.48,-4.21353708404378
3.52,-4.54734526621252
3.56,-4.83182794415244
3.6,-5.06762853919968
3.64,-5.25540605968148
3.68,-5.39584342223005
3.72,-5.48967387288659
3.76,-5.53771469391297
3.8,-5.54090208788597
3.84,-5.50032414792607
3.88,-5.41725068854491
3.92,-5.29315983667055
3.96,-5.12976194678113
4,-4.92902177465375
4.04,-4.69317999074586
4.08,-4.42477501200818
4.12,-4.12666564913662
4.16,-3.80205395006829
4.2,-3.45450549702325
4.24,-3.08796089285591
4.28,-2.70672716364816
4.32,-2.31543218916302
4.36,-1.91892183199038
4.4,-1.52208328026667
4.44,-1.12959489930634
4.48,-0.745633330040295
4.52,-0.373601743589462
4.56,-0.015957071456662
4.6,0.325809268877943
4.64,0.65103704981322
4.68,0.959663624362691
4.72,1.25196864442997
4.76,1.52836080746231
4.8,1.78923715655819
4.84,2.03491500721175
4.88,2.26561977550932
4.92,2.48150810675056
4.96,2.6827090908181
5,2.86937187961894
5.04,3.04171289548527
5.08,3.20005913404626
5.12,3.34488587860161
5.16,3.47684780377979
5.2,3.59680227222264
5.24,3.70582280738746
5.28,3.80519931755982
5.32,3.89641961868095
5.36,3.981124090051
5.4,4.0610218850641
5.44,4.13775320363735
5.48,4.2126783798866
5.52,4.28657250784042
5.56,4.35920705615987
5.6,4.4288125056061
5.64,4.49144567653111
5.68,4.540339686878
5.72,4.56539599208763
5.76,4.553073641426
5.8,4.48699817156344
5.84,4.34957400942659
5.88,4.12465397560319
5.92,3.80087974429126
5.96,3.37480494674989
6,2.85266662424714
